,TAZ,0,1
0,1,37.89731745182713,-122.49549489892225
1,2,37.90394973225807,-122.50046910967743
2,3,37.90394973225807,-122.47808516129032
3,4,37.855466285486685,-122.39483258130072
4,5,37.90181792783197,-122.37042902856076
5,6,37.90394973225807,-122.34751212903225
6,7,37.901462627099264,-122.33134594406116
7,8,37.9020844033871,-122.31580153548387
8,9,37.90394973225807,-122.29155225806451
9,10,37.8964884167742,-122.47062384516128
10,11,37.87783512806452,-122.30647489032258
11,12,37.889027101290324,-122.29155225806451
12,13,37.86664315483871,-122.28409094193549
13,14,37.889027101290324,-122.50793042580645
14,15,37.88529644354839,-122.46689318709677
15,16,37.874104470322585,-122.45290321935484
16,17,37.88156578580645,-122.51539174193549
17,18,37.876591575481385,-122.51041753118031
18,19,37.88156578580645,-122.50046910967743
19,20,37.874104470322585,-122.50046910967743
20,21,37.870373812580645,-122.49300779354839
21,22,37.874104470322585,-122.47062384516128
22,23,37.86291249709678,-122.29155225806451
23,24,37.851720523870966,-122.51539174193549
24,25,37.850974392322584,-122.49748458322581
25,26,37.86664315483871,-122.46689318709677
26,27,37.86291249709678,-122.32139752258064
27,28,37.851720523870966,-122.50793042580645
28,29,37.85918183935484,-122.48554647741936
29,30,37.85669473419604,-122.42709950110014
30,31,37.85918183935484,-122.36616541935484
31,32,37.84332654395161,-122.47995049032258
32,33,37.84127468219355,-122.30349036387096
33,34,37.84052855064516,-122.29155225806451
34,35,37.832321103612905,-122.50643816258065
35,36,37.833067235161295,-122.47062384516128
36,37,37.829336577419355,-122.48554647741936
37,38,37.79203,-122.29111335711136
38,39,37.8131703938461,-122.28533449464852
39,40,37.82187526193548,-122.50793042580645
40,41,37.74941440965168,-122.50635207046803
41,42,37.814413946451616,-122.47808516129032
42,43,37.812548617580646,-122.30834021935485
43,44,37.814413946451616,-122.34378147096774
44,45,37.80993715716129,-122.32288978580645
45,46,37.797359511027935,-122.47701925898511
46,47,37.78820368438829,-122.45455331814284
47,48,37.80268902213047,-122.40773560920593
48,49,37.79949131548387,-122.36989607741936
49,50,37.72794601115399,-122.33132069429585
50,51,37.771268078621134,-122.41871903730066
51,52,37.79203,-122.32512818064517
52,53,37.78705578965255,-122.38606226239047
53,54,37.78456868451613,-122.3102055483871
54,55,37.78456868451613,-122.29901357419355
55,56,37.76333263272564,-122.503338846653
56,57,37.7760414668416,-122.39920839079407
57,58,37.77710736903226,-122.42958660645161
58,59,37.76591539580645,-122.3810880516129
59,60,37.76516926425806,-122.48106968774194
60,61,37.769646053548385,-122.38854936774193
61,62,37.75621568567742,-122.47510063483871
62,63,37.740511393123086,-122.4453974906369
63,64,37.72993260013039,-122.39528862104625
64,65,37.739090190102715,-122.44362098678245
65,66,37.72136695332352,-122.48949658596045
66,67,37.73731368647648,-122.47891419641495
67,68,37.74427758090322,-122.40944105290323
68,69,37.73068140603809,-122.36699445447199
69,70,37.728608818387094,-122.50046910967743
70,71,37.70398647729032,-122.47808516129032
71,72,37.690369576532255,-122.44404290645161
72,73,37.70317251559439,-122.41364652196701
73,74,37.707468424541,-122.38606226239047
74,75,37.68430725770161,-122.47761882903225
75,76,37.69130224096774,-122.41466397419354
76,77,37.68135382034745,-122.40595910535147
77,78,37.6819755966129,-122.39134736129033
