"","p_8","a_8"
"1",0,0
"2",0,32
"3",0,70
"4",0,0
"5",0,0
"6",570,0
"7",0,314
"8",0,29
"9",0,314
"10",0,70
"11",5000,0
"12",0,32
"13",0,0
"14",856,0
"15",0,419
"16",0,0
"17",0,0
"18",0,314
"19",0,18
"20",0,0
"21",0,36
"22",856,0
"23",1141,0
"24",0,52
"25",0,0
"26",0,210
"27",0,15
"28",856,0
"29",0,18
"30",0,0
"31",0,11
"32",0,0
"33",0,0
"34",0,210
"35",0,524
"36",0,15
"37",0,7
"38",0,0
"39",0,629
"40",0,54
"41",0,0
"42",0,202
"43",0,0
"44",0,202
"45",0,37
"46",0,0
"47",0,0
"48",0,125
"49",0,403
"50",0,0
"51",0,2411
"52",0,419
"53",0,22
"54",0,0
"55",856,0
"56",0,908
"57",0,0
"58",570,0
"59",0,72
"60",0,54
"61",0,105
"62",1426,0
"63",0,226
"64",0,0
"65",0,3709
"66",0,1782
"67",0,0
"68",1426,0
"69",0,629
"70",0,15
"71",1426,0
"72",0,0
"73",0,1153
"74",0,22
"75",0,172
"76",1142,0
"77",0,64
"78",0,0
