"","p_9_home_e","a_9_home_e"
"1",0,926
"2",97,0
"3",97,0
"4",0,0
"5",0,720
"6",0,0
"7",-9372,0
"8",352,0
"9",305,0
"10",97,0
"11",0,0
"12",97,0
"13",0,-8749
"14",0,0
"15",406,0
"16",0,823
"17",0,0
"18",305,0
"19",75,0
"20",0,0
"21",151,0
"22",0,0
"23",0,0
"24",161,0
"25",0,1029
"26",203,0
"27",176,0
"28",0,0
"29",75,0
"30",0,618
"31",32,0
"32",0,0
"33",0,515
"34",203,0
"35",508,0
"36",176,0
"37",88,0
"38",0,1750
"39",610,0
"40",226,0
"41",0,0
"42",48,0
"43",0,0
"44",48,0
"45",440,0
"46",0,0
"47",0,4014
"48",527,0
"49",97,0
"50",0,0
"51",2337,0
"52",580,0
"53",264,0
"54",0,618
"55",0,0
"56",1258,0
"57",0,0
"58",0,0
"59",301,0
"60",161,0
"61",102,0
"62",0,0
"63",677,0
"64",0,3191
"65",2902,0
"66",1727,0
"67",0,926
"68",0,0
"69",871,0
"70",176,0
"71",0,0
"72",0,3294
"73",1117,0
"74",264,0
"75",516,0
"76",0,0
"77",194,0
"78",0,0
