"","p_9_e","a_9_e"
"1",463,0
"2",0,97
"3",0,97
"4",0,0
"5",360,0
"6",0,0
"7",0,-9372
"8",0,352
"9",0,305
"10",0,97
"11",0,0
"12",0,97
"13",463,0
"14",0,0
"15",0,406
"16",412,0
"17",0,0
"18",0,305
"19",0,75
"20",0,0
"21",0,151
"22",0,0
"23",0,0
"24",0,161
"25",515,0
"26",0,203
"27",0,176
"28",0,0
"29",0,75
"30",309,0
"31",0,32
"32",0,0
"33",257,0
"34",0,203
"35",0,508
"36",0,176
"37",0,88
"38",875,0
"39",0,610
"40",0,226
"41",0,0
"42",0,48
"43",0,0
"44",0,48
"45",0,440
"46",0,0
"47",2007,0
"48",0,527
"49",0,97
"50",0,0
"51",0,2337
"52",0,580
"53",0,264
"54",309,0
"55",0,0
"56",0,1258
"57",0,0
"58",0,0
"59",0,301
"60",0,161
"61",0,102
"62",0,0
"63",0,677
"64",1595,0
"65",0,2902
"66",0,1727
"67",463,0
"68",0,0
"69",0,871
"70",0,176
"71",0,0
"72",1647,0
"73",0,1117
"74",0,264
"75",0,516
"76",0,0
"77",0,194
"78",0,0
