"","p_3_ue","a_3_ue"
"1",4939,0
"2",0,361
"3",0,344
"4",0,0
"5",3842,0
"6",0,0
"7",0,2167
"8",0,1126
"9",0,2167
"10",0,344
"11",0,0
"12",0,361
"13",4939,0
"14",0,0
"15",0,2889
"16",4390,0
"17",0,0
"18",0,2167
"19",0,344
"20",0,0
"21",0,688
"22",0,0
"23",0,0
"24",0,602
"25",5488,0
"26",0,1444
"27",0,563
"28",0,0
"29",0,344
"30",3293,0
"31",0,120
"32",0,0
"33",2744,0
"34",0,1444
"35",0,3611
"36",0,563
"37",0,281
"38",9330,0
"39",0,4333
"40",0,1032
"41",0,0
"42",0,516
"43",0,0
"44",0,516
"45",0,1407
"46",0,0
"47",21403,0
"48",0,2406
"49",0,1032
"50",0,0
"51",0,16611
"52",0,2064
"53",0,844
"54",3293,0
"55",0,0
"56",0,4471
"57",0,0
"58",0,0
"59",0,1376
"60",0,602
"61",0,722
"62",0,0
"63",0,2528
"64",17013,0
"65",0,13413
"66",0,12278
"67",4939,0
"68",0,0
"69",0,3095
"70",0,563
"71",0,0
"72",17562,0
"73",0,7944
"74",0,844
"75",0,1926
"76",0,0
"77",0,722
"78",0,0
