"","p_6_e","a_6_e"
"1",0,463
"2",34,0
"3",32,0
"4",0,0
"5",0,360
"6",0,0
"7",203,0
"8",106,0
"9",203,0
"10",32,0
"11",0,0
"12",34,0
"13",0,463
"14",0,0
"15",271,0
"16",0,412
"17",0,0
"18",203,0
"19",32,0
"20",0,0
"21",64,0
"22",0,0
"23",0,0
"24",56,0
"25",0,515
"26",136,0
"27",53,0
"28",0,0
"29",32,0
"30",0,309
"31",12,0
"32",0,0
"33",0,257
"34",136,0
"35",338,0
"36",53,0
"37",26,0
"38",0,875
"39",406,0
"40",97,0
"41",0,0
"42",48,0
"43",0,0
"44",48,0
"45",132,0
"46",0,0
"47",0,2007
"48",226,0
"49",97,0
"50",0,0
"51",1558,0
"52",194,0
"53",79,0
"54",0,309
"55",0,0
"56",419,0
"57",0,0
"58",0,0
"59",129,0
"60",56,0
"61",68,0
"62",0,0
"63",237,0
"64",0,1595
"65",1258,0
"66",1152,0
"67",0,463
"68",0,0
"69",290,0
"70",53,0
"71",0,0
"72",0,1647
"73",745,0
"74",79,0
"75",180,0
"76",0,0
"77",68,0
"78",0,0
