,P_SR_SR_to_home_employed,A_SR_SR_to_home_employed
0,0.0,8342.0
1,871.0,0.0
2,871.0,0.0
3,0.0,0.0
4,0.0,6488.0
5,0.0,0.0
6,2745.0,0.0
7,3168.0,0.0
8,2745.0,0.0
9,871.0,0.0
10,0.0,0.0
11,871.0,0.0
12,0.0,8342.0
13,0.0,0.0
14,3660.0,0.0
15,0.0,7415.0
16,0.0,0.0
17,2745.0,0.0
18,678.0,0.0
19,0.0,0.0
20,1355.0,0.0
21,0.0,0.0
22,0.0,0.0
23,1452.0,0.0
24,0.0,9269.0
25,1830.0,0.0
26,1584.0,0.0
27,0.0,0.0
28,678.0,0.0
29,0.0,5562.0
30,290.0,0.0
31,0.0,0.0
32,0.0,4635.0
33,1830.0,0.0
34,4574.0,0.0
35,1584.0,0.0
36,792.0,0.0
37,0.0,15758.0
38,5489.0,0.0
39,2033.0,0.0
40,0.0,0.0
41,436.0,0.0
42,0.0,0.0
43,436.0,0.0
44,3961.0,0.0
45,0.0,0.0
46,0.0,36150.0
47,4744.0,0.0
48,871.0,0.0
49,0.0,0.0
50,21042.0,0.0
51,5228.0,0.0
52,2376.0,0.0
53,0.0,5562.0
54,0.0,0.0
55,11327.0,0.0
56,0.0,0.0
57,0.0,0.0
58,2711.0,0.0
59,1452.0,0.0
60,915.0,0.0
61,0.0,0.0
62,6099.0,0.0
63,0.0,28735.0
64,26139.0,0.0
65,15553.0,0.0
66,0.0,8342.0
67,0.0,0.0
68,7842.0,0.0
69,1584.0,0.0
70,0.0,0.0
71,0.0,29662.0
72,10064.0,0.0
73,2376.0,0.0
74,4647.0,0.0
75,0.0,0.0
76,1743.0,0.0
77,0.0,0.0
