,P_work_to_SR,A_work_to_SR
0,0.0,0.0
1,0.0,620.0
2,0.0,537.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,2602.0
7,0.0,3380.0
8,0.0,2602.0
9,0.0,537.0
10,0.0,0.0
11,0.0,620.0
12,0.0,0.0
13,0.0,0.0
14,0.0,3471.0
15,0.0,0.0
16,0.0,0.0
17,0.0,2602.0
18,2212.0,0.0
19,0.0,0.0
20,4426.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,1033.0
24,0.0,0.0
25,0.0,1735.0
26,0.0,1690.0
27,0.0,0.0
28,2213.0,0.0
29,0.0,0.0
30,0.0,207.0
31,17704.0,0.0
32,0.0,0.0
33,0.0,1735.0
34,0.0,4337.0
35,0.0,1690.0
36,0.0,845.0
37,0.0,0.0
38,0.0,5205.0
39,6639.0,0.0
40,0.0,0.0
41,0.0,620.0
42,17704.0,0.0
43,0.0,620.0
44,0.0,4225.0
45,15491.0,0.0
46,0.0,0.0
47,15491.0,0.0
48,0.0,1239.0
49,0.0,0.0
50,0.0,19952.0
51,0.0,3222.0
52,0.0,2535.0
53,0.0,0.0
54,0.0,0.0
55,0.0,6981.0
56,15491.0,0.0
57,0.0,0.0
58,8852.0,0.0
59,0.0,1033.0
60,0.0,867.0
61,0.0,0.0
62,0.0,4337.0
63,0.0,0.0
64,0.0,4957.0
65,0.0,14747.0
66,0.0,0.0
67,0.0,0.0
68,0.0,4833.0
69,0.0,1690.0
70,0.0,0.0
71,0.0,0.0
72,0.0,9542.0
73,0.0,2535.0
74,0.0,3305.0
75,0.0,0.0
76,0.0,1239.0
77,17704.0,0.0
